[2024-09-17 00:01:05:1216924][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/jquery/jquery.min.js', status code: 200, estimated time: 2ms, used memory: 1046528 bytes
[2024-09-17 00:01:05:1216924][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/stomp-websocket/stomp.min.js', status code: 200, estimated time: 1ms, used memory: 172728 bytes
[2024-09-17 00:01:05:1216924][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/sockjs-client/sockjs.min.js', status code: 200, estimated time: 1ms, used memory: 447160 bytes
[2024-09-17 00:01:05:1216925][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/css/chat-list.css', status code: 200, estimated time: 1ms, used memory: 0 bytes
[2024-09-17 00:01:05:1216925][http-nio-8080-exec-7] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/css/style.css', status code: 200, estimated time: 1ms, used memory: 0 bytes
[2024-09-17 00:01:05:1216925][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/js/chat-list.js'
[2024-09-17 00:01:05:1216925][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Received request for '/js/jquery-3.3.1.min.js'
[2024-09-17 00:01:05:1216925][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/css/bootstrap.min.css', status code: 200, estimated time: 2ms, used memory: 258712 bytes
[2024-09-17 00:01:05:1216927][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/js/jquery-3.3.1.min.js', status code: 200, estimated time: 2ms, used memory: 742720 bytes
[2024-09-17 00:01:05:1216927][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Received request for '/js/bootstrap.min.js'
[2024-09-17 00:01:05:1216928][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/js/bootstrap.min.js', status code: 200, estimated time: 1ms, used memory: 0 bytes
[2024-09-17 00:01:05:1216940][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/js/chat-list.js', status code: 200, estimated time: 15ms, used memory: 742720 bytes
[2024-09-17 00:01:05:1216960][http-nio-8080-exec-3] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/js/api.js'
[2024-09-17 00:01:05:1216962][http-nio-8080-exec-3] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/js/api.js', status code: 200, estimated time: 2ms, used memory: 299216 bytes
[2024-09-17 00:01:05:1216965][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/chatrooms'
[2024-09-17 00:01:05:1216965][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/products'
[2024-09-17 00:01:05:1216967][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/sockjs-client/sockjs.min.js.map'
[2024-09-17 00:01:05:1216967][http-nio-8080-exec-5] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getAllProductBySellerId' task with parameters: sellerId: 2
[2024-09-17 00:01:05:1216967][http-nio-8080-exec-9] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getAllProductBySellerId' task with parameters: sellerId: 2
[2024-09-17 00:01:05:1216970][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/sockjs-client/sockjs.min.js.map', status code: 200, estimated time: 3ms, used memory: 522088 bytes
[2024-09-17 00:01:05:1216971][http-nio-8080-exec-5] INFO  p6spy - took 1 ms | select product0_.id as id1_4_, product0_.createdAt as createda2_4_, product0_.modifiedAt as modified3_4_, product0_.content as content4_4_, product0_.name as name5_4_, product0_.price as price6_4_, product0_.seller_id as seller_i8_4_, product0_.title as title7_4_ from Product product0_ left outer join Member member1_ on product0_.seller_id=member1_.id where member1_.id=2
[2024-09-17 00:01:05:1216971][http-nio-8080-exec-9] INFO  p6spy - took 1 ms | select product0_.id as id1_4_, product0_.createdAt as createda2_4_, product0_.modifiedAt as modified3_4_, product0_.content as content4_4_, product0_.name as name5_4_, product0_.price as price6_4_, product0_.seller_id as seller_i8_4_, product0_.title as title7_4_ from Product product0_ left outer join Member member1_ on product0_.seller_id=member1_.id where member1_.id=2
[2024-09-17 00:01:05:1216971][http-nio-8080-exec-5] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getAllProductBySellerId' task was executed successfully by ProductServiceImpl: 'getAllProductBySellerId', estimated time: 4 ms, used memory: 0 bytes
[2024-09-17 00:01:05:1216971][http-nio-8080-exec-9] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getAllProductBySellerId' task was executed successfully by ProductServiceImpl: 'getAllProductBySellerId', estimated time: 4 ms, used memory: 0 bytes
[2024-09-17 00:01:05:1216972][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/products', status code: 200, estimated time: 7ms, used memory: 796504 bytes
[2024-09-17 00:01:05:1216974][http-nio-8080-exec-5] INFO  p6spy - took 1 ms | select chat0_.product_id as col_0_0_, chat0_.message as col_1_0_, chat0_.sendDate as col_2_0_, chat0_.owner_id as col_3_0_, product1_.seller_id as col_4_0_ from Chat chat0_ inner join Product product1_ on (chat0_.product_id=product1_.id) inner join Member member3_ on product1_.seller_id=member3_.id inner join Member member2_ on chat0_.owner_id=member2_.id where chat0_.delete_yn=0 and chat0_.owner_id=2 and chat0_.sendDate=(select max(chat4_.sendDate) from Chat chat4_ where chat4_.product_id=chat0_.product_id and chat4_.owner_id=2 and chat4_.delete_yn=0)
[2024-09-17 00:01:05:1216975][http-nio-8080-exec-5] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:01:05:1216977][http-nio-8080-exec-5] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=1
[2024-09-17 00:01:05:1216978][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/chatrooms', status code: 200, estimated time: 13ms, used memory: 1073544 bytes
[2024-09-17 00:01:05:1216982][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Received request for '/img/trend/bs-1.jpg'
[2024-09-17 00:01:05:1216983][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/img/trend/bs-1.jpg', status code: 200, estimated time: 1ms, used memory: 0 bytes
[2024-09-17 00:01:07:1218756][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/chatrooms/2'
[2024-09-17 00:01:07:1218760][http-nio-8080-exec-1] INFO  p6spy - took 0 ms | select chat0_.product_id as col_0_0_, chat0_.message as col_1_0_, product1_.title as col_2_0_, product1_.seller_id as col_3_0_, chat0_.owner_id as col_4_0_, chat0_.sendDate as col_5_0_ from Chat chat0_ inner join Product product1_ on (chat0_.product_id=product1_.id) inner join Member member2_ on (member2_.id=product1_.seller_id) inner join Member member3_ on product1_.seller_id=member3_.id inner join Member member4_ on chat0_.owner_id=member4_.id where chat0_.product_id=2 and chat0_.delete_yn=0 order by chat0_.id
[2024-09-17 00:01:07:1218761][http-nio-8080-exec-1] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:01:07:1218762][http-nio-8080-exec-1] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=1
[2024-09-17 00:01:07:1218763][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/chatrooms/2', status code: 200, estimated time: 7ms, used memory: 344760 bytes
[2024-09-17 00:01:13:1224623][http-nio-8080-exec-3] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'MemberDetailsService.loadUserByUsername' task with parameters: username: duwan
[2024-09-17 00:01:13:1224625][http-nio-8080-exec-3] INFO  p6spy - took 0 ms | select member0_.id as id1_3_, member0_.createdAt as createda2_3_, member0_.modifiedAt as modified3_3_, member0_.deleteYn as deleteyn4_3_, member0_.email as email5_3_, member0_.nickName as nickname6_3_, member0_.password as password7_3_, member0_.school as school8_3_, member0_.schoolAuthYn as schoolau9_3_ from Member member0_ where member0_.email='duwan'
[2024-09-17 00:01:13:1224625][http-nio-8080-exec-3] INFO  o.threefour.ddip.aop.LoggingAspect - 'MemberDetailsService.loadUserByUsername' task was executed successfully by MemberDetailsService: 'loadUserByUsername', estimated time: 2 ms, used memory: 250504 bytes
[2024-09-17 00:01:13:1224626][clientInboundChannel-176] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getProductByProductId' task with parameters: productId: 2
[2024-09-17 00:01:13:1224628][clientInboundChannel-176] INFO  p6spy - took 0 ms | select product0_.id as id1_4_0_, product0_.createdAt as createda2_4_0_, product0_.modifiedAt as modified3_4_0_, product0_.content as content4_4_0_, product0_.name as name5_4_0_, product0_.price as price6_4_0_, product0_.seller_id as seller_i8_4_0_, product0_.title as title7_4_0_ from Product product0_ where product0_.id=2
[2024-09-17 00:01:13:1224630][clientInboundChannel-176] INFO  p6spy - took 0 ms | 
[2024-09-17 00:01:13:1224636][clientInboundChannel-176] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getProductByProductId' task was executed successfully by ProductServiceImpl: 'getProductByProductId', estimated time: 10 ms, used memory: 0 bytes
[2024-09-17 00:01:13:1224636][clientInboundChannel-176] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'MemberDetailsService.loadUserByUsername' task with parameters: username: duwan
[2024-09-17 00:01:13:1224638][clientInboundChannel-176] INFO  p6spy - took 0 ms | select member0_.id as id1_3_, member0_.createdAt as createda2_3_, member0_.modifiedAt as modified3_3_, member0_.deleteYn as deleteyn4_3_, member0_.email as email5_3_, member0_.nickName as nickname6_3_, member0_.password as password7_3_, member0_.school as school8_3_, member0_.schoolAuthYn as schoolau9_3_ from Member member0_ where member0_.email='duwan'
[2024-09-17 00:01:13:1224638][clientInboundChannel-176] INFO  o.threefour.ddip.aop.LoggingAspect - 'MemberDetailsService.loadUserByUsername' task was executed successfully by MemberDetailsService: 'loadUserByUsername', estimated time: 2 ms, used memory: 0 bytes
[2024-09-17 00:01:13:1224639][clientInboundChannel-176] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ChatServiceImpl.createChat' task with parameters: dto: ChatRequestDTO(owner=2, productId=2, message=아니라니뇨!)
[2024-09-17 00:01:13:1224640][clientInboundChannel-176] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:01:13:1224641][clientInboundChannel-176] INFO  p6spy - took 0 ms | select product0_.id as id1_4_0_, product0_.createdAt as createda2_4_0_, product0_.modifiedAt as modified3_4_0_, product0_.content as content4_4_0_, product0_.name as name5_4_0_, product0_.price as price6_4_0_, product0_.seller_id as seller_i8_4_0_, product0_.title as title7_4_0_ from Product product0_ where product0_.id=2
[2024-09-17 00:01:13:1224643][clientInboundChannel-176] INFO  p6spy - took 0 ms | insert into Chat (createdAt, modifiedAt, delete_yn, message, owner_id, product_id, sendDate) values ('2024-09-17T00:01:13.455+0900', '2024-09-17T00:01:13.455+0900', false, '아니라니뇨!', 2, 2, '2024-09-17T00:01:13.456+0900')
[2024-09-17 00:01:13:1224643][clientInboundChannel-176] INFO  o.threefour.ddip.aop.LoggingAspect - 'ChatServiceImpl.createChat' task was executed successfully by ChatServiceImpl: 'createChat', estimated time: 4 ms, used memory: 177976 bytes
[2024-09-17 00:01:13:1224645][clientInboundChannel-176] INFO  p6spy - took 1 ms | 
[2024-09-17 00:01:43:1254419][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chatrooms'
[2024-09-17 00:01:43:1254424][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chatrooms', status code: 200, estimated time: 3ms, used memory: 755280 bytes
[2024-09-17 00:01:43:1254433][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Received request for '/css/bootstrap.min.css'
[2024-09-17 00:01:43:1254433][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/jquery/jquery.min.js'
[2024-09-17 00:01:43:1254433][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/stomp-websocket/stomp.min.js'
[2024-09-17 00:01:43:1254433][http-nio-8080-exec-7] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/sockjs-client/sockjs.min.js'
[2024-09-17 00:01:43:1254433][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Received request for '/css/style.css'
[2024-09-17 00:01:43:1254433][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/css/chat-list.css'
[2024-09-17 00:01:43:1254435][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/css/chat-list.css', status code: 200, estimated time: 2ms, used memory: 655728 bytes
[2024-09-17 00:01:43:1254435][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/css/style.css', status code: 200, estimated time: 2ms, used memory: 655728 bytes
[2024-09-17 00:01:43:1254435][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/stomp-websocket/stomp.min.js', status code: 200, estimated time: 2ms, used memory: 932856 bytes
[2024-09-17 00:01:43:1254435][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/css/bootstrap.min.css', status code: 200, estimated time: 2ms, used memory: 932856 bytes
[2024-09-17 00:01:43:1254435][http-nio-8080-exec-7] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/sockjs-client/sockjs.min.js', status code: 200, estimated time: 2ms, used memory: 932856 bytes
[2024-09-17 00:01:43:1254435][http-nio-8080-exec-5] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/jquery/jquery.min.js', status code: 200, estimated time: 2ms, used memory: 932856 bytes
[2024-09-17 00:01:43:1254437][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Received request for '/js/bootstrap.min.js'
[2024-09-17 00:01:43:1254437][http-nio-8080-exec-3] INFO  o.t.d.i.LoggingInterceptor - Received request for '/js/jquery-3.3.1.min.js'
[2024-09-17 00:01:43:1254437][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/js/chat-list.js'
[2024-09-17 00:01:43:1254438][http-nio-8080-exec-2] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/js/bootstrap.min.js', status code: 200, estimated time: 1ms, used memory: 0 bytes
[2024-09-17 00:01:43:1254439][http-nio-8080-exec-3] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/js/jquery-3.3.1.min.js', status code: 200, estimated time: 2ms, used memory: 0 bytes
[2024-09-17 00:01:43:1254453][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/js/chat-list.js', status code: 200, estimated time: 16ms, used memory: 0 bytes
[2024-09-17 00:01:43:1254478][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Received request for '/chat/js/api.js'
[2024-09-17 00:01:43:1254479][http-nio-8080-exec-9] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/chat/js/api.js', status code: 200, estimated time: 1ms, used memory: 0 bytes
[2024-09-17 00:01:43:1254482][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/products'
[2024-09-17 00:01:43:1254482][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/chatrooms'
[2024-09-17 00:01:43:1254484][http-nio-8080-exec-8] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getAllProductBySellerId' task with parameters: sellerId: 2
[2024-09-17 00:01:43:1254484][http-nio-8080-exec-10] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getAllProductBySellerId' task with parameters: sellerId: 2
[2024-09-17 00:01:43:1254487][http-nio-8080-exec-8] INFO  p6spy - took 0 ms | select product0_.id as id1_4_, product0_.createdAt as createda2_4_, product0_.modifiedAt as modified3_4_, product0_.content as content4_4_, product0_.name as name5_4_, product0_.price as price6_4_, product0_.seller_id as seller_i8_4_, product0_.title as title7_4_ from Product product0_ left outer join Member member1_ on product0_.seller_id=member1_.id where member1_.id=2
[2024-09-17 00:01:43:1254487][http-nio-8080-exec-10] INFO  p6spy - took 0 ms | select product0_.id as id1_4_, product0_.createdAt as createda2_4_, product0_.modifiedAt as modified3_4_, product0_.content as content4_4_, product0_.name as name5_4_, product0_.price as price6_4_, product0_.seller_id as seller_i8_4_, product0_.title as title7_4_ from Product product0_ left outer join Member member1_ on product0_.seller_id=member1_.id where member1_.id=2
[2024-09-17 00:01:43:1254487][http-nio-8080-exec-8] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getAllProductBySellerId' task was executed successfully by ProductServiceImpl: 'getAllProductBySellerId', estimated time: 3 ms, used memory: 0 bytes
[2024-09-17 00:01:43:1254487][http-nio-8080-exec-10] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getAllProductBySellerId' task was executed successfully by ProductServiceImpl: 'getAllProductBySellerId', estimated time: 3 ms, used memory: 0 bytes
[2024-09-17 00:01:43:1254488][http-nio-8080-exec-10] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/products', status code: 200, estimated time: 6ms, used memory: 449432 bytes
[2024-09-17 00:01:43:1254490][http-nio-8080-exec-8] INFO  p6spy - took 1 ms | select chat0_.product_id as col_0_0_, chat0_.message as col_1_0_, chat0_.sendDate as col_2_0_, chat0_.owner_id as col_3_0_, product1_.seller_id as col_4_0_ from Chat chat0_ inner join Product product1_ on (chat0_.product_id=product1_.id) inner join Member member3_ on product1_.seller_id=member3_.id inner join Member member2_ on chat0_.owner_id=member2_.id where chat0_.delete_yn=0 and chat0_.owner_id=2 and chat0_.sendDate=(select max(chat4_.sendDate) from Chat chat4_ where chat4_.product_id=chat0_.product_id and chat4_.owner_id=2 and chat4_.delete_yn=0)
[2024-09-17 00:01:43:1254492][http-nio-8080-exec-8] INFO  p6spy - took 1 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:01:43:1254495][http-nio-8080-exec-8] INFO  p6spy - took 2 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=1
[2024-09-17 00:01:43:1254498][http-nio-8080-exec-8] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/chatrooms', status code: 200, estimated time: 16ms, used memory: 664224 bytes
[2024-09-17 00:01:43:1254499][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Received request for '/webjars/sockjs-client/sockjs.min.js.map'
[2024-09-17 00:01:43:1254502][http-nio-8080-exec-6] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/webjars/sockjs-client/sockjs.min.js.map', status code: 200, estimated time: 3ms, used memory: 277032 bytes
[2024-09-17 00:01:43:1254503][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Received request for '/img/trend/bs-1.jpg'
[2024-09-17 00:01:43:1254505][http-nio-8080-exec-4] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/img/trend/bs-1.jpg', status code: 200, estimated time: 2ms, used memory: 0 bytes
[2024-09-17 00:01:44:1255353][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Received request for '/suwan/chatrooms/2'
[2024-09-17 00:01:44:1255356][http-nio-8080-exec-1] INFO  p6spy - took 0 ms | select chat0_.product_id as col_0_0_, chat0_.message as col_1_0_, product1_.title as col_2_0_, product1_.seller_id as col_3_0_, chat0_.owner_id as col_4_0_, chat0_.sendDate as col_5_0_ from Chat chat0_ inner join Product product1_ on (chat0_.product_id=product1_.id) inner join Member member2_ on (member2_.id=product1_.seller_id) inner join Member member3_ on product1_.seller_id=member3_.id inner join Member member4_ on chat0_.owner_id=member4_.id where chat0_.product_id=2 and chat0_.delete_yn=0 order by chat0_.id
[2024-09-17 00:01:44:1255358][http-nio-8080-exec-1] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:01:44:1255359][http-nio-8080-exec-1] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=1
[2024-09-17 00:01:44:1255360][http-nio-8080-exec-1] INFO  o.t.d.i.LoggingInterceptor - Completed request for '/suwan/chatrooms/2', status code: 200, estimated time: 7ms, used memory: 336608 bytes
[2024-09-17 00:01:49:1260445][http-nio-8080-exec-9] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'MemberDetailsService.loadUserByUsername' task with parameters: username: duwan
[2024-09-17 00:01:49:1260447][http-nio-8080-exec-9] INFO  p6spy - took 0 ms | select member0_.id as id1_3_, member0_.createdAt as createda2_3_, member0_.modifiedAt as modified3_3_, member0_.deleteYn as deleteyn4_3_, member0_.email as email5_3_, member0_.nickName as nickname6_3_, member0_.password as password7_3_, member0_.school as school8_3_, member0_.schoolAuthYn as schoolau9_3_ from Member member0_ where member0_.email='duwan'
[2024-09-17 00:01:49:1260448][http-nio-8080-exec-9] INFO  o.threefour.ddip.aop.LoggingAspect - 'MemberDetailsService.loadUserByUsername' task was executed successfully by MemberDetailsService: 'loadUserByUsername', estimated time: 3 ms, used memory: 146104 bytes
[2024-09-17 00:01:49:1260450][clientInboundChannel-191] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ProductServiceImpl.getProductByProductId' task with parameters: productId: 2
[2024-09-17 00:01:49:1260457][clientInboundChannel-191] INFO  p6spy - took 3 ms | select product0_.id as id1_4_0_, product0_.createdAt as createda2_4_0_, product0_.modifiedAt as modified3_4_0_, product0_.content as content4_4_0_, product0_.name as name5_4_0_, product0_.price as price6_4_0_, product0_.seller_id as seller_i8_4_0_, product0_.title as title7_4_0_ from Product product0_ where product0_.id=2
[2024-09-17 00:01:49:1260460][clientInboundChannel-191] INFO  p6spy - took 1 ms | 
[2024-09-17 00:01:49:1260465][clientInboundChannel-191] INFO  o.threefour.ddip.aop.LoggingAspect - 'ProductServiceImpl.getProductByProductId' task was executed successfully by ProductServiceImpl: 'getProductByProductId', estimated time: 15 ms, used memory: 0 bytes
[2024-09-17 00:01:49:1260465][clientInboundChannel-191] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'MemberDetailsService.loadUserByUsername' task with parameters: username: duwan
[2024-09-17 00:01:49:1260467][clientInboundChannel-191] INFO  p6spy - took 1 ms | select member0_.id as id1_3_, member0_.createdAt as createda2_3_, member0_.modifiedAt as modified3_3_, member0_.deleteYn as deleteyn4_3_, member0_.email as email5_3_, member0_.nickName as nickname6_3_, member0_.password as password7_3_, member0_.school as school8_3_, member0_.schoolAuthYn as schoolau9_3_ from Member member0_ where member0_.email='duwan'
[2024-09-17 00:01:49:1260467][clientInboundChannel-191] INFO  o.threefour.ddip.aop.LoggingAspect - 'MemberDetailsService.loadUserByUsername' task was executed successfully by MemberDetailsService: 'loadUserByUsername', estimated time: 2 ms, used memory: 113056 bytes
[2024-09-17 00:01:49:1260468][clientInboundChannel-191] INFO  o.threefour.ddip.aop.LoggingAspect - Beginning to 'ChatServiceImpl.createChat' task with parameters: dto: ChatRequestDTO(owner=2, productId=2, message=아니라니까!)
[2024-09-17 00:01:49:1260469][clientInboundChannel-191] INFO  p6spy - took 0 ms | select member0_.id as id1_3_0_, member0_.createdAt as createda2_3_0_, member0_.modifiedAt as modified3_3_0_, member0_.deleteYn as deleteyn4_3_0_, member0_.email as email5_3_0_, member0_.nickName as nickname6_3_0_, member0_.password as password7_3_0_, member0_.school as school8_3_0_, member0_.schoolAuthYn as schoolau9_3_0_ from Member member0_ where member0_.id=2
[2024-09-17 00:01:49:1260471][clientInboundChannel-191] INFO  p6spy - took 0 ms | select product0_.id as id1_4_0_, product0_.createdAt as createda2_4_0_, product0_.modifiedAt as modified3_4_0_, product0_.content as content4_4_0_, product0_.name as name5_4_0_, product0_.price as price6_4_0_, product0_.seller_id as seller_i8_4_0_, product0_.title as title7_4_0_ from Product product0_ where product0_.id=2
[2024-09-17 00:01:49:1260480][clientInboundChannel-191] INFO  p6spy - took 8 ms | insert into Chat (createdAt, modifiedAt, delete_yn, message, owner_id, product_id, sendDate) values ('2024-09-17T00:01:49.285+0900', '2024-09-17T00:01:49.285+0900', false, '아니라니까!', 2, 2, '2024-09-17T00:01:49.285+0900')
[2024-09-17 00:01:49:1260480][clientInboundChannel-191] INFO  o.threefour.ddip.aop.LoggingAspect - 'ChatServiceImpl.createChat' task was executed successfully by ChatServiceImpl: 'createChat', estimated time: 12 ms, used memory: 112904 bytes
[2024-09-17 00:01:49:1260483][clientInboundChannel-191] INFO  p6spy - took 2 ms | 
